track,comparison,left_config,right_config,pred_len,seed,left_mse,right_mse,delta_mse,relative_mse_delta_pct,mse_winner,left_mae,right_mae,delta_mae,relative_mae_delta_pct,mae_winner
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,96,2021,0.376217573881149,0.376850455999374,0.000632882118225098,0.168222369756983,left,0.399332642555237,0.397125661373138,-0.00220698118209839,-0.552667362221237,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,96,2022,0.37336328625679,0.37557178735733,0.00220850110054016,0.591515336893946,left,0.393358826637268,0.394205510616302,0.000846683979034424,0.2152446879793,left
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,96,2023,0.382440328598022,0.376869440078735,-0.00557088851928711,-1.45666868860543,right,0.39885476231575,0.39528477191925,-0.00356999039649963,-0.895060240918844,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,192,2021,0.447378516197205,0.424509704113007,-0.022868812084198,-5.11173676344293,right,0.432037770748138,0.426906764507294,-0.00513100624084473,-1.18762908899368,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,192,2022,0.432128757238388,0.430106908082962,-0.00202184915542603,-0.467881186234188,right,0.431674242019653,0.429674327373505,-0.00199991464614868,-0.463292559869169,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,192,2023,0.428995341062546,0.42610689997673,-0.00288844108581543,-0.673303602472994,right,0.432160556316376,0.428973615169525,-0.00318694114685059,-0.737443781083411,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,336,2021,0.497218549251556,0.488452762365341,-0.00876578688621521,-1.76296457551916,right,0.461006879806519,0.457583159208298,-0.00342372059822083,-0.742661497732471,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,336,2022,0.470660090446472,0.473294675350189,0.00263458490371704,0.559763820471341,left,0.44471001625061,0.44321683049202,-0.0014931857585907,-0.335766163123529,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,336,2023,0.474299252033234,0.475750476121902,0.00145122408866882,0.305972249049032,left,0.449385017156601,0.449468046426773,8.30292701721191e-05,0.0184761990280564,left
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,720,2021,0.493089079856873,0.48985156416893,-0.0032375156879425,-0.656578257397679,right,0.475488007068634,0.474126189947128,-0.00136181712150574,-0.286404094585117,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,720,2022,0.519978761672974,0.497850179672241,-0.0221285820007324,-4.25567035267675,right,0.489870339632034,0.478335410356522,-0.0115349292755127,-2.3546902807337,right
Track A,B_minus_A,A_moving_avg,B_fixed_selected_a0p02,720,2023,0.50593513250351,0.502384185791016,-0.0035509467124939,-0.701858100844433,right,0.479701906442642,0.476865470409393,-0.0028364360332489,-0.59129138224262,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,96,2021,0.376217573881149,0.373896032571793,-0.00232154130935669,-0.617074126922653,right,0.399332642555237,0.39574533700943,-0.00358730554580688,-0.89832514638737,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,96,2022,0.37336328625679,0.396558165550232,0.0231948792934418,6.21241566785678,left,0.393358826637268,0.404853612184525,0.0114947855472565,2.9222137063817,left
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,96,2023,0.382440328598022,0.375583410263062,-0.00685691833496094,-1.79293809313927,right,0.39885476231575,0.395928382873535,-0.00292637944221497,-0.733695499891843,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,192,2021,0.447378516197205,0.453311562538147,0.00593304634094238,1.32618043248351,left,0.432037770748138,0.434914499521255,0.00287672877311707,0.665851221326223,left
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,192,2022,0.432128757238388,0.454370439052582,0.0222416818141937,5.14700339693521,left,0.431674242019653,0.438576906919479,0.00690266489982605,1.59904488799954,left
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,192,2023,0.428995341062546,0.426603674888611,-0.00239166617393494,-0.557503997132277,right,0.432160556316376,0.430846780538559,-0.00131377577781677,-0.304001778647977,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,336,2021,0.497218549251556,0.497672915458679,0.000454366207122803,0.091381588198337,left,0.461006879806519,0.462675034999847,0.00166815519332886,0.361850390178335,left
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,336,2022,0.470660090446472,0.470789134502411,0.000129044055938721,0.0274176754218333,left,0.44471001625061,0.44365006685257,-0.00105994939804077,-0.238346193993402,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,336,2023,0.474299252033234,0.473091572523117,-0.00120767951011658,-0.254623954168065,right,0.449385017156601,0.447983652353287,-0.00140136480331421,-0.311840570960973,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,720,2021,0.493089079856873,0.497598528862,0.00450944900512695,0.914530292667584,left,0.475488007068634,0.477667510509491,0.00217950344085693,0.458371906011572,left
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,720,2022,0.519978761672974,0.495793014764786,-0.0241857469081879,-4.65129514720427,right,0.489870339632034,0.479694247245789,-0.0101760923862457,-2.0773032296443,right
Track A,C_minus_A,A_moving_avg,C_saema_selected_a0p05,720,2023,0.50593513250351,0.499050498008728,-0.00688463449478149,-1.3607741491907,right,0.479701906442642,0.474363297224045,-0.00533860921859741,-1.11290139707538,right
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,96,2021,0.376850455999374,0.373896032571793,-0.00295442342758179,-0.783977670863344,right,0.397125661373138,0.39574533700943,-0.0013803243637085,-0.347578738411353,right
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,96,2022,0.37557178735733,0.396558165550232,0.0209863781929016,5.58784735684487,left,0.394205510616302,0.404853612184525,0.010648101568222,2.70115492591028,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,96,2023,0.376869440078735,0.375583410263062,-0.00128602981567383,-0.341240142847653,right,0.39528477191925,0.395928382873535,0.000643610954284668,0.1628220968796,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,192,2021,0.424509704113007,0.453311562538147,0.0288018584251404,6.78473498864308,left,0.426906764507294,0.434914499521255,0.00800773501396179,1.87575735025042,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,192,2022,0.430106908082962,0.454370439052582,0.0242635309696198,5.64127906658491,left,0.429674327373505,0.438576906919479,0.00890257954597473,2.07193657586993,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,192,2023,0.42610689997673,0.426603674888611,0.000496774911880493,0.116584573473845,left,0.428973615169525,0.430846780538559,0.00187316536903381,0.436662140232928,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,336,2021,0.488452762365341,0.497672915458679,0.00922015309333801,1.88762431165078,left,0.457583159208298,0.462675034999847,0.00509187579154968,1.11277604716912,left
Track A,C_minus_B,B_fixed_selected_a0p02,C_saema_selected_a0p05,336,2022,0.473294675350189,0.470789134502411,-0.00250554084777832,-0.529382851375727,right,0.44321683049202,0.44365006685257,0.000433236360549927,0.0977481744249167,left
