pred_len,n_seeds,fixed_a0p05_mean_mse,fixed_a0p05_sample_std_mse,fixed_a0p05_mean_mae,fixed_a0p05_sample_std_mae,saema_a0p05_mean_mse,saema_a0p05_sample_std_mse,saema_a0p05_mean_mae,saema_a0p05_sample_std_mae,mean_paired_mse_delta_saema_minus_fixed,mean_paired_mae_delta_saema_minus_fixed,relative_mse_change_pct,relative_mae_change_pct,saema_lower_mse_count,fixed_lower_mse_count,tie_mse_count,saema_lower_mae_count,fixed_lower_mae_count,tie_mae_count
96,3,0.377951562404633,0.000635994023118931,0.397317826747894,0.000703655848157969,0.382012536128362,0.0126251064283444,0.398842444022497,0.00520662879906238,0.00406097372372945,0.00152461727460225,1.07446935736749,0.383727376916726,2,1,0,2,1,0
192,3,0.435426165660222,0.0138787151007457,0.43129167954127,0.00275038906969002,0.44476189215978,0.0157343873639377,0.434779395659765,0.0038668337507957,0.0093357264995575,0.00348771611849467,2.14404352237354,0.808667610329101,0,3,0,0,3,0
336,3,0.478097309668859,0.0100820517320702,0.449286639690399,0.00754296373768631,0.480517874161402,0.0149012377554099,0.451436251401901,0.00997134310883465,0.00242056449254354,0.00214961171150208,0.506291176208482,0.478449951902278,2,1,0,1,2,0
720,3,0.491578340530396,0.0023046143116932,0.475387752056122,0.0005458871151454,0.497480680545171,0.00163193610183598,0.477241684993108,0.00269086464939887,0.00590234001477559,0.00185393293698629,1.20069163511296,0.389983319714851,0,3,0,1,2,0
