config,alpha_vector,pred_len,n_seeds,mean_mse,sample_std_mse,mean_delta_mse_vs_F0,mean_mae,sample_std_mae,mean_delta_mae_vs_F0,mse_wins_vs_F0
F0,"0.02,0.02,0.02,0.02",192,3,0.42690783739089966,0.002883279144720915,0,0.42851823568344133,0.0014388811319448651,0,—
P1,"0.02,0.0396,0.02,0.02",192,3,0.42707008123397827,0.002527382809430277,0.00016224384307861328,0.42918485403060913,0.0011815968058909304,0.0006666183471678022,1/3
P2,"0.02,0.02,0.07763184,0.02",192,3,0.4264700412750244,0.00196281897855445,-0.00043779611587524414,0.4289817313353221,0.0013869080946451156,0.00046349565188073355,2/3
P3,"0.02,0.02,0.02,0.14923698",192,3,0.42609774072964984,0.0028619687689361933,-0.0008100966612497965,0.42831358313560486,0.0011420810534732192,-0.00020465254783647024,3/3
FULL02,"0.02,0.0396,0.07763184,0.14923698",192,3,0.43468626340230304,0.013771170502429918,0.007778426011403401,0.430552472670873,0.002910347729338312,0.0020342369874316777,2/3
